index;symbol;code;file;width;height;mass;q1_mass;q2_mass;q3_mass;q4_mass;q1_density;q2_density;q3_density;q4_density;cx;cy;cx_norm;cy_norm;mx;my;mx_norm;my_norm
20;Т;U+0422;20_U0422.png;34;37;294;111;76;70;37;0.3627450980392157;0.24836601307189543;0.21671826625386997;0.11455108359133127;15.523809523809524;13.20748299319728;0.4704184704184704;0.36687452758881334;36382.34353741496;10175.333333333334;0.09039405976211586;0.029939426751092596
21;Ѹ;U+0478;21_U0478.png;60;48;608;266;124;108;110;0.36944444444444446;0.17222222222222222;0.15;0.1527777777777778;25.68421052631579;19.55592105263158;0.4353256021409456;0.4160834266517357;69888.09868421052;141587.3684210526;0.04989042132404922;0.06468721144967682
22;Ф;U+0424;22_U0424.png;43;37;491;139;122;123;107;0.36772486772486773;0.30808080808080807;0.3082706766917293;0.25598086124401914;20.05295315682281;16.468431771894092;0.4774512656386383;0.4574564381081692;40500.26069246436;50182.62321792261;0.060252195758070934;0.05527578976242193
23;Х;U+0425;23_U0425.png;40;37;374;123;70;72;109;0.3416666666666667;0.19444444444444445;0.18947368421052632;0.2868421052631579;18.414438502673796;16.451871657754012;0.4721650898121486;0.45699643493761144;48342.63368983957;25800.762032085564;0.09441809996335895;0.04311624671137294
24;Ц;U+0426;24_U0426.png;40;47;469;133;133;83;120;0.2891304347826087;0.2891304347826087;0.17291666666666666;0.25;19.754797441364605;18.85287846481876;0.5065332677272976;0.4098451840177992;70006.84861407249;56532.80170575693;0.06757280847982086;0.07533688926673365
25;Ч;U+0427;25_U0427.png;37;37;355;110;111;29;105;0.3395061728395062;0.32456140350877194;0.0847953216374269;0.29085872576177285;19.112676056338028;13.95774647887324;0.5309076682316118;0.3877151799687011;34994.3661971831;26335.49295774648;0.07200560951693558;0.05418881461279741
26;Ш;U+0428;26_U0428.png;54;37;656;170;161;166;159;0.3497942386831276;0.33127572016460904;0.3235867446393762;0.30994152046783624;26.399390243902438;17.128048780487806;0.4981017027151403;0.47577913279132794;80423.24390243902;141349.35975609758;0.0895517957544663;0.0738928617949421
27;Щ;U+0429;27_U0429.png;54;47;692;210;201;126;155;0.33816425120772947;0.32367149758454106;0.19444444444444445;0.23919753086419754;27.51878612716763;18.147398843930635;0.5192223797578798;0.3945086705202312;93758.96531791906;157308.7557803468;0.06133537088023971;0.07795774745888084
28;Ъ;U+042A;28_U042A.png;38;37;372;133;34;93;112;0.3888888888888889;0.09941520467836257;0.25761772853185594;0.31024930747922436;18.93548387096774;18.056451612903224;0.5117698343504795;0.5015681003584229;41879.81451612903;26306.451612903224;0.08223531522917016;0.04897248460984873
29;Ы;U+042B;29_U042B.png;48;37;574;139;123;158;154;0.32175925925925924;0.2847222222222222;0.34649122807017546;0.33771929824561403;22.642857142857142;18.13240418118467;0.4817629179331307;0.5036778939217963;61977.93728222996;93453.78571428571;0.07887180459582895;0.07066470198343565
30;Ь;U+042C;30_U042C.png;32;37;343;118;22;100;103;0.4097222222222222;0.0763888888888889;0.32894736842105265;0.33881578947368424;13.323615160349854;19.276967930029155;0.4297940374306405;0.5354713313896987;34100.688046647236;18083.078717201166;0.07262155996193778;0.05148471300223546
31;Ѣ;U+0462;31_U0462.png;37;37;409;145;61;93;110;0.44753086419753085;0.1783625730994152;0.2719298245614035;0.3047091412742382;17.47921760391198;17.119804400977994;0.4855338223308883;0.47555012224938875;43745.12958435208;26248.07334963325;0.07812732436245841;0.04687817272371147
32;Ю;U+042E;32_U042E.png;55;37;612;202;132;167;111;0.4156378600823045;0.2619047619047619;0.3255360623781676;0.20864661654135339;25.24019607843137;16.38235294117647;0.46741103848946985;0.4550653594771242;61924.529411764706;147155.6911764706;0.07391079005686693;0.07948776058794933
33;Ѵ;U+0474;33_U0474.png;44;37;301;117;80;75;29;0.29545454545454547;0.20202020202020202;0.17942583732057416;0.06937799043062201;19.53488372093023;12.946843853820598;0.45429962141698216;0.3596345514950166;27523.14950166113;27616.883720930233;0.06679257479126342;0.04739175839647839
34;Ѯ;U+046E;34_U046E.png;29;54;423;82;127;97;117;0.21693121693121692;0.3135802469135803;0.2566137566137566;0.28888888888888886;13.460992907801419;26.71631205673759;0.48074974670719356;0.5040813595610866;102795.95744680852;19911.106382978724;0.08333897389053345;0.05597047976482664
35;Ѱ;U+0470;35_U0470.png;41;37;406;156;143;63;44;0.43333333333333335;0.3783068783068783;0.16578947368421051;0.11027568922305764;19.448275862068964;12.822660098522167;0.4862068965517241;0.3561850027367269;37517.231527093594;29350.41379310345;0.06749961592743903;0.043005151450877306
36;Ѡ;U+0460;36_U0460.png;63;37;629;157;154;165;153;0.28136200716845877;0.2673611111111111;0.2801358234295416;0.25164473684210525;29.987281399046104;17.02066772655008;0.48366582901687266;0.47279632573750224;70734.73131955485;214421.89825119238;0.08214452348743626;0.08588896950219223
37;Ѳ;U+0472;37_U0472.png;39;37;480;141;130;99;110;0.41228070175438597;0.3611111111111111;0.2742382271468144;0.2894736842105263;18.314583333333335;16.43125;0.48196271929824563;0.45642361111111107;39441.73125;55071.497916666674;0.06002211354090577;0.07543214156896048
38;Ѧ;U+0466;38_U0466.png;41;37;376;76;60;133;107;0.2111111111111111;0.15873015873015872;0.35;0.2681704260651629;18.96276595744681;20.47872340425532;0.47406914893617025;0.5688534278959811;31863.829787234037;24551.478723404252;0.06190228499454882;0.038843834602320444
39;Ѫ;U+046A;39_U046A.png;50;37;516;139;82;173;122;0.3088888888888889;0.18222222222222223;0.3642105263157895;0.25684210526315787;22.343023255813954;18.209302325581394;0.45598006644518274;0.5058139534883721;59479.39534883721;53326.28488372093;0.08420025275739834;0.04133820533621778
